top_k,layer,count,fraction
20,14,2,0.1
20,15,1,0.05
20,16,2,0.1
20,18,2,0.1
20,23,1,0.05
20,24,1,0.05
20,26,3,0.15
20,27,1,0.05
20,28,1,0.05
20,29,2,0.1
20,30,1,0.05
20,31,3,0.15
30,13,1,0.03333333333333333
30,14,2,0.06666666666666667
30,15,2,0.06666666666666667
30,16,3,0.1
30,18,2,0.06666666666666667
30,19,2,0.06666666666666667
30,20,1,0.03333333333333333
30,23,1,0.03333333333333333
30,24,2,0.06666666666666667
30,26,4,0.13333333333333333
30,27,2,0.06666666666666667
30,28,2,0.06666666666666667
30,29,2,0.06666666666666667
30,30,1,0.03333333333333333
30,31,3,0.1
50,13,1,0.02
50,14,4,0.08
50,15,6,0.12
50,16,3,0.06
50,17,1,0.02
50,18,2,0.04
50,19,3,0.06
50,20,2,0.04
50,23,4,0.08
50,24,3,0.06
50,25,1,0.02
50,26,4,0.08
50,27,2,0.04
50,28,2,0.04
50,29,2,0.04
50,30,5,0.1
50,31,5,0.1
100,13,5,0.05
100,14,12,0.12
100,15,13,0.13
100,16,10,0.1
100,17,3,0.03
100,18,4,0.04
100,19,6,0.06
100,20,6,0.06
100,21,2,0.02
100,22,1,0.01
100,23,4,0.04
100,24,5,0.05
100,25,1,0.01
100,26,5,0.05
100,27,4,0.04
100,28,3,0.03
100,29,2,0.02
100,30,7,0.07
100,31,7,0.07
150,13,9,0.06
150,14,15,0.1
150,15,16,0.10666666666666667
150,16,15,0.1
150,17,10,0.06666666666666667
150,18,6,0.04
150,19,10,0.06666666666666667
150,20,9,0.06
150,21,4,0.02666666666666667
150,22,3,0.02
150,23,5,0.03333333333333333
150,24,6,0.04
150,25,2,0.013333333333333334
150,26,9,0.06
150,27,4,0.02666666666666667
150,28,4,0.02666666666666667
150,29,6,0.04
150,30,7,0.04666666666666667
150,31,10,0.06666666666666667
200,13,11,0.055
200,14,18,0.09
200,15,18,0.09
200,16,19,0.095
200,17,11,0.055
200,18,11,0.055
200,19,16,0.08
200,20,12,0.06
200,21,6,0.03
200,22,4,0.02
200,23,7,0.035
200,24,9,0.045
200,25,2,0.01
200,26,10,0.05
200,27,4,0.02
200,28,7,0.035
200,29,10,0.05
200,30,9,0.045
200,31,16,0.08
